#separator:tab
#html:false
# Anki plain-text export format — field 1 = character, field 2 = reading/meaning
臺灣	Tái wān	Taiwan
你好	nǐ hǎo	hello
謝謝	xiè xie	thank you
再見	zài jiàn	goodbye
中國	Zhōng guó	China
喜歡	xǐ huān	to like
覺得	jué de	to think, to feel
漂亮	piào liang	beautiful, pretty
腳踏車	jiǎo tà chē	bicycle
洗手間	xǐ shǒu jiān	restroom, toilet
吃飯	chī fàn	to eat a meal
看書	kàn shū	to read books
喝茶	hē chá	to drink tea
咖啡	kā fēi	coffee
買東西	mǎi dōng xi	to go shopping
高興	gāo xìng	happy, glad
醫生	yī shēng	doctor
學校	xué xiào	school
朋友	péng you	friend
老師	lǎo shī	teacher
學生	xué sheng	student
中文	Zhōng wén	Chinese language
捷運	jié yùn	MRT / subway (Taiwan)
不客氣	bú kè qì	you're welcome
不好意思	bù hǎo yì sī	excuse me, sorry (very common in Taiwan)
