#separator:tab
#html:false
# TOCFL Band B · Level 3 · 進階級 (B1)
# Regenerate: python scripts/build-tocfl-deck.py
# field 1 = character, field 2 = pinyin, field 3 = English meaning
哎	āi	of surprise/warning/dissatisfaction
愛	ài	love
安排	ān pái	arrangement
安排	ān pái	to arrange, to plan, to fix up, to provide
安全	ān quán	safety, security
巴士	bā shì	bus
白	bái	in vain, for nothing
白菜	bái cài	Chinese cabbage
白天	bái tiān	daytime, day
把	bǎ	①individual measure word for a thing with a handle or sth like a handle; ②measure word for sth fastened together
辦	bàn	to do, to handle, to manage, to set up, to run
搬家	bān jiā	to move one's house
半天	bàn tiān	half a day, a very long time
幫助	bāng zhù	to help, to assist
包	bāo	to wrap, to contain
飽	bǎo	to be full (after eating)
抱歉	bào qiàn	be sorry/apologetic
背	bēi	to carry on back, to shoulder
背	bèi	back of body/object
背	bèi	to learn by heart, to recite from memory
本來	běn lái	originally
笨	bèn	to be stupid, dull, clumsy, awkward, cumbersome
鼻(子)	bí zi	nose
比	bǐ	to gesture with the hand to indicate (the shape, size of sth)
比較	bǐ jiào	to compare
畢業	bì yè	to graduate from a school
變	biàn	to become, to change into
變	biàn	to become, change into; to perform
變成	biàn chéng	to change into
變化	biàn huà	change, transformation
變化	biàn huà	to change, vary
表	biǎo	table, form, list
表現	biǎo xiàn	manifestation, expression
表現	biǎo xiàn	to show, to display, to exhibit, to represent, to express, to manifest
表演	biǎo yǎn	performance
表演	biǎo yǎn	to perform, act, play, demonstrate
冰	bīng	ice
冰塊(兒)	bīng kuài ér	ice cube
餅	bǐng	round flat cake
病	bìng	to becme ill, to be sick
不過	bù guò	but, however
不要	bù yào	don't want, don't (do sth)
不要緊	bù yào jǐn	unimportant, never mind
布	bù	cloth
部	bù	①measure word for films, books etc.; ②measure word for machines, vehicles, telephones etc
不必	bù bì	need not, not have to
不可	bù kě	cannot, should not, must not
不少	bù shǎo	not few, many
不少	bù shǎo	a lot of
不得了	bù dé liǎo	to be extremely, to be exceedingly
部分	bù fèn	part, section
部分	bù fèn fèn	part, in part
不管	bù guǎn	no matter, regardless of
不見	bù jiàn	to be disappear, to be lost
