#separator:tab
#html:false
# TOCFL Band C · Level 6 · 精通級 (C2) — second half of SC-TOP level-5 list
# Regenerate: python scripts/build-tocfl-deck.py
# field 1 = character, field 2 = pinyin, field 3 = English meaning
墨	mò	ink, handwriting
沒落	mò luò	decline, wane
默默	mò mò	quietly, silently
末期	mò qí	last/final phase/stage
默契	mò qì	tacit/secret agreement
漠視	mò shì	treat as unimportant, ignore
沒收	mò shōu	confiscate, expropriate
謀生	móu shēng	seek livelihood
某些	mǒu xiē	some
畝	mǔ	m.[standard] measure word for field
墓	mù	grave, tomb, mausoleum
幕	mù	curtain, screen, tent
木材	mù cái	wood; timbering; timber; lumber
牧場	mù chǎng	grazing land, pasture
目睹	mù dǔ	to witness, see with one's own eyes
目光	mù guāng	sight, vision, view, gaze, look
目擊	mù jí	to witness, see with one's own eyes
募集	mù jí	to raise; to collect
木刻	mù kè	woodcut, wood engraving
木料	mù liào	timber, lumber
木偶	mù ' ǒu	wooden figure; a blocehead, puppet
沐浴	mù yù	have/take a bath, bathe, immerse
拿	ná	introducing instrument or target
納悶	nà mèn	wonder
納入	nà rù	to subsume, to bring into, to fit into, to intake
納稅	nà shuì	pay taxes
乃	nǎi	therefore
耐	nài	bear, endure
耐力	nài lì	endurance, stamina
難度	nán dù	(degree of) difficulty
男方	nán fāng	husband's side, bridegroom's side, the bridegroom's or husband's side
難關	náng u ān	difficulty, crisis
難免	nán miǎn	incidental
難題	nán tí	difficult problem, sticker, poser
難以	nán yǐ	be difficult to
難民	nàn mín	refugee
囊括	náng guā	include, embrace
腦海	nǎo hǎi	brain, mind
腦力	nǎo lì	brains, mental capability
內閣	nèi gé	cabinet
內涵	nèi hán	intention, connotation
內銷	nèi xiāo	sell in domestic market
內戰	nèi zhàn	civil war
內政	nèi zhèng	domestic affairs
能量	néng liàng	energy, capabilities
擬	nǐ	draw up, draft
擬	nǐ	intend, plan
擬定	nǐ dìng	formulate, conjecture
膩	nì	be bored with, greasy, be tired of
粘	nián	sticky
念頭	niàn tou	thought, idea, intention
娘	niáng	ma, mum, mother
娘家	niáng jiā	married woman's parents' home
凝固	níng gù	solidify
凝結	níng jié	coagulate, congeal, condense
凝聚	níng jù	condense (of vapor), coalesce, concentrate
凝視	níng shì	gaze fixedly, stare
扭轉	niǔ zhuǎn	turn round/back, reverse, remedy (a situation)
農場	nóng chǎng	farm
農具	nóng jù	farm implements
農田	nóng tián	farmland, cropland
農作物	nóng zuò wù	crops
弄錯	nòng cuò	misunderstand
弄壞	nòng huài	maim, go, put out of order, mar, fail, poison, bitch, mess, stultify, bedevil, give way, die, wear, bust, conk out, go bad, ruin, fall apart, give out, murder, spoil, kayo, break down, break, vitiate, wear out
女方	nǚ fāng	groom’s, bride's side
女性	nǚ xìng	female sex, woman
虐待	nüè dài	maltreat, tyrannize, abuse
奴隸	nú lì	slave
怒氣	nù qì	wrath, anger, rage, fury
暖	nuǎn	to warm
挪	nuó	move, shift
